date	resort	author	article	article-cicker	workload-index	
02.01.2020 17:45:00	inland	Fabian Schmid	Innere Sicherheit: Mehr Polizei, Sicherungshaft und der Kampf gegen politischen Islam	Regierungsprogramm	9489
02.01.2020 11:42:00	inland	Fabian Schmid	Vorbild DÖW: Türkis-Grün plant "Dokumentationsstelle für politischen Islam"	Türkis-grüne Regierungspläne	6109
02.01.2020 06:00:00	inland	Fabian Schmid	Alma Zadić: Vom Flüchtlingskind zur Justizministerin	Türkis-grüne Minister	10498
02.01.2020 16:47:00	inland	Oona Kroisleitner	Ulrike Lunacek: Überraschendes Comeback für Kunst und Kultur	Kopf des Tages	7494
02.01.2020 11:42:00	inland	Sebastian Fellner	Vorbild DÖW: Türkis-Grün plant "Dokumentationsstelle für politischen Islam"	Türkis-grüne Regierungspläne	6109
02.01.2020 06:00:00	inland	Conrad Seidl	Kampf gegen Klimawandel größtes Anliegen der Österreicher	Neujahrsumfrage	16880
02.01.2020 18:09:00	wirtschaft	Luise Ungerboeck	VW-Vergleichsangebot in Deutschland lässt Österreichs Dieselbesitzer hoffen	Dieselskandal	8958
02.01.2020 08:00:00	wirtschaft	Luise Ungerboeck	Vergleich mit VW im Dieselstreit bringt Republik Strafanzeige ein	Entschädigungszahlung	11044
02.01.2020 17:54:00	wirtschaft	APA	Platz eins für Emirates bei Sicherheitsranking der größten Airlines	Flugsicherheit	10129
02.01.2020 15:29:00	wirtschaft	APA	Griechenland, Zypern und Israel unterzeichnen Deal für Gaspipeline	Energiemarkt	7633
02.01.2020 14:37:00	wirtschaft	APA	Libanon erhält Interpol-Haftbefehl gegen Ex-Nissan-Chef Ghosn	Finanzdelikte	13775
02.01.2020 11:50:00	wirtschaft	APA	Arbeitslosigkeit sank im Dezember um 1,5 Prozent, knapp über 400.000 ohne Job	Zahlen	9296
02.01.2020 11:31:00	wirtschaft	APA	2030 soll jede zweite Neuzulassung ein E-Auto sein	Studie	5760
02.01.2020 14:37:00	wirtschaft	red	Libanon erhält Interpol-Haftbefehl gegen Ex-Nissan-Chef Ghosn	Finanzdelikte	13775
02.01.2020 14:37:00	wirtschaft	Reuters	Libanon erhält Interpol-Haftbefehl gegen Ex-Nissan-Chef Ghosn	Finanzdelikte	13775
02.01.2020 14:00:00	wirtschaft	Birgit Baumann	Unperfekt: Auch Versandhandel mit Ausschussware floriert	Mit Ecken und Kanten	11639
02.01.2020 12:00:00	wirtschaft	Karin Bauer	Die 40-Stunden-Woche hat für viele ausgedient: Was in Österreich schon geht	Neujahrsvorsatz	14809
02.01.2020 12:00:00	wirtschaft	Lisa Breit	Die 40-Stunden-Woche hat für viele ausgedient: Was in Österreich schon geht	Neujahrsvorsatz	14809
02.01.2020 12:00:00	wirtschaft	Grudrun Ostermann	Die 40-Stunden-Woche hat für viele ausgedient: Was in Österreich schon geht	Neujahrsvorsatz	14809
02.01.2020 12:00:00	wirtschaft	Selina Thaler	Die 40-Stunden-Woche hat für viele ausgedient: Was in Österreich schon geht	Neujahrsvorsatz	14809
02.01.2020 10:39:00	wirtschaft	mawa	Gratisversand: Wie oft schicken Sie Packerln zurück?	Mitreden	3342
02.01.2020 08:00:00	wirtschaft	Regina Bruckner	Gegen den Verpackungsmüll: Im Handel wird wieder ausgepackt	Homöopathische Dosen	10502
